,norm,formal,subjektif,posneg
957,jam setelah vaksin hidung mampet duaduanya gampang laper,jam telah vaksin hidung mampet duaduanya gampang laper,0.0,-1.0
959,bes besok gue vaksin gak bisa tidur bukan az sih harusnya gak usah takut tapi keluarga gue lebay bgt in pas kemarin malem gue benci di rumah negative mulu orangorangnya mana gue suka kepikiran anaknya maaf guys curhat,bes besok gue vaksin enggak bisa tidur bukan az sih harus enggak usah takut tapi keluarga gue lebay banget ini pas kemarin malam gue benci di rumah negative mulu orangorangnya mana gue suka pikir anak maaf guys curhat,1.0,-1.0
960,pdhl ntar vaksin,padahal entar vaksin,1.0,0.0
961,singapura ragukan vaksin sinovac kasus di indonesia dijadikan rujukan,singapura ragu vaksin sinovac kasus di indonesia jadi rujuk,0.0,-1.0
962,tpi ini kata ibu siti fadilah tentang vaksin,tapi ini kata ibu siti fadilah tentang vaksin,0.0,0.0
964,ayo di vaksin bagi warga kecamatan compreng kab subang bisa di puskesmas compreng dan puskesmas jatireja,ayo di vaksin bagi warga camat compreng kab subang bisa di puskesmas compreng dan puskesmas jatireja,0.0,1.0
965,kabur dari pervaksinan gasabar antre plus parnoan karena hujan dan antre parah padahal udah nunggu dri pagi badan keknya gue beneran parno ama jarum dan itu vaksin,kabur dari vaksin gasabar antre plus parnoan karena hujan dan antre parah padahal sudah tunggu dari pagi badan kayak gue benar parno sama jarum dan itu vaksin,0.0,-1.0
967,tau lo kenapa angka disana turun pemerintahnya kaga maksa buat vaksin dan test swab gk di test gak ada angka positif lagian orang takut amat ama covid yg jelas jelas survival rate nya diatas nih lo liat yang mati positif iya mati kagak,tau lo kenapa angka sana turun perintah kagak maksa buat vaksin dan test swab enggak di test enggak ada angka positif lagi orang takut amat sama covid yang jelas jelas survival rate nya atas nih lo lihat yang mati positif iya mati kagak,1.0,-1.0
970,dimulai hari ini target juta vaksin untuk seluruh indonesia betulbetul harus kita jaga sampai nantinya bulan juli ya,mulai hari ini target juta vaksin untuk seluruh indonesia betulbetul harus kita jaga sampai nanti bulan juli ya,0.0,1.0
971,netizen ya gini nih kurang banyak baca vaksin tuh bersifat membantu imun tubuh bukan berarti menjadi kebalemangnya superman,netizen ya begini nih kurang banyak baca vaksin tuh sifat bantu imun tubuh bukan arti jadi kebalemangnya superman,0.0,1.0
973,semoga abis vaksin gua doyan makan deh katanya laper muluuu,moga habis vaksin gua doyan makan deh kata laper melulu,1.0,0.0
974,alumni smandel jakarta bersama komunitas di dalamnya dan iluni ui serta para pendukung lainnya sukses menggelar giat sentra vaksinasi di mal kota kasablanka pada hari sabtu juni sukses mendukung target juta vaksin salam eksis alumni smandel,alumni smandel jakarta sama komunitas di dalam dan iluni ui serta para dukung lain sukses gelar giat sentra vaksinasi di mal kota kasablanka pada hari sabtu juni sukses dukung target juta vaksin salam eks alumni smandel,0.0,1.0
976,kalian jaga kesehatan yaaaa plis bangeeet kalau udah ada vaksin di kotanya cepet daftaar mumpung gratis,kalian jaga sehat ya plis banget kalau sudah ada vaksin di kota cepat daftaar mumpung gratis,1.0,1.0
978,jawaban paling mudah dan aman ketika sudah di vaksin dan masih terpapar covid adalah karena adanya varian baru baru dannnn baru heehee,jawab paling mudah dan aman ketika sudah di vaksin dan masih papar covid adalah karena ada varian baru baru dannnn baru heehee,1.0,-1.0
979,bimbangku antra vaksin bsk atau kabur saja,bimbang antra vaksin besok atau kabur saja,1.0,0.0
982,antrian vaksin dilarang ngumpul tapi nyatanya bikin perkumpulan untuk datangkan penyakit,antri vaksin larang ngumpul tapi nyata bikin kumpul untuk datang sakit,1.0,-1.0
984,besok w vaksin jam sgini ga bs tidur,besok gue vaksin jam sgini enggak bisa tidur,0.0,0.0
986,semua vaksin berbahaya sinovac amp sinopharm jelas ada virus cina asli semua vaksin mrna atau bukan tetap bahaya nya gak kira,semua vaksin bahaya sinovac amp sinopharm jelas ada virus cina asli semua vaksin mrna atau bukan tetap bahaya nya enggak kira,1.0,-1.0
987,abis vaksin tangan pegel bgtttt,habis vaksin tangan gel banget,0.0,-1.0
988,warga kota jambi antri menunggu vaksin di korem,warga kota jambi antri tunggu vaksin di korem,0.0,0.0
989,mulai dari meja registrasi tempat screening kesehatan peserta pengukuran tekanan darah sampai dengan meja pelaksanaan vaksin juga,mulai dari meja registrasi tempat screening sehat serta ukur tekan darah sampai dengan meja laksana vaksin juga,0.0,0.0
992,mending dibalik demi mempermudah distribusi vaksin ngopi gratis vaksin,mending balik demi mudah distribusi vaksin ngopi gratis vaksin,1.0,1.0
993,vaksin cptan bisa buat di bawah kek zzzzzz,vaksin cptan bisa buat di bawah kayak zzzzzz,1.0,0.0
994,sinovac hanya diperbolehkan untuk swasta vaksin mandiri coba deh dibaca lagi artikelnya untuk yg pemerintahnya dulu ga ngebolehin krn msh mempertanyakan efektivitas sinovac,sinovac hanya boleh untuk swasta vaksin mandiri coba deh baca lagi artikel untuk yang perintah dulu enggak boleh karena masih tanya efektivitas sinovac,1.0,-1.0
995,hhhh bsk hrs bgn pagi biar bisa nemenin doi vaksin,hhhh besok harus bgn pagi biar bisa nemenin doi vaksin,0.0,0.0
997,abis vaksin kenapa aktif bgt ya badan gue maunya gerak mulu,habis vaksin kenapa aktif banget ya badan gue mau gerak mulu,0.0,1.0
1000,vaksin bayar di bilang bisnis vaksin gratis di curigain jadi maunya apa bangsat,vaksin bayar di bilang bisnis vaksin gratis di curigain jadi mau apa bangsat,1.0,0.0
1003,blm slesai vaksin bii,belum slesai vaksin bii,0.0,0.0
1005,tapi bgitu ada yg kena efek samping dari vaksin dibiarin y,tapi begitu ada yang kena efek samping dari vaksin biar ya,1.0,-1.0
1009,emak gw baru deh grabak grubuk mau vaksin setelah bbrp tetangga gw yg beda gang positif coviddr awal ada swab dan vaksin di entengin ajakmrn giliran flu parno sendiri,emak gue baru deh grabak grubuk mau vaksin telah beberapa tetangga gue yang beda gang positif coviddr awal ada swab dan vaksin di entengin ajakmrn gilir flu parno sendiri,0.0,0.0
1010,jumlah tersebut terbagi untuk para pendaftar vaksin sebanyak orang dan sisanya untuk masyarakat yaitu sekitar sebanyak orang,jumlah sebut bagi untuk para daftar vaksin banyak orang dan sisa untuk masyarakat yaitu sekitar banyak orang,0.0,0.0
1011,tangsel vaksin besok but not for me,tangsel vaksin besok but not for me,0.0,-1.0
1013,info vaksin pliss pingin banget divaksin tapi gak ada barengannya,info vaksin pliss pengin banget vaksin tapi enggak ada bareng,0.0,-1.0
1015,anies menceritakan efeknya usai divaksinasi anies menuturkan vaksinasi merupakan upaya pencegahan penularan corona,anies cerita efek usai vaksinasi anies tutur vaksinasi rupa upaya cegah tular corona,0.0,0.0
1019,shit setelah sok iye akhirnya menemukan angka kalo vaksin br bs kelar menyeluruh akhir tahun itupun blm semuanya vaksin dan dg catatan stoknya memadai,shit telah sok iye akhir temu angka kalo vaksin baru bisa kelar seluruh akhir tahun itu belum semua vaksin dan dengan catat stok pada,1.0,0.0
1020,ya allah dosa gak sie ngetawain orang yang nangis pas disuntik humor gue nonton berita vaksin,ya allah dosa enggak sih ngetawain orang yang menang pas suntik humor gue tonton berita vaksin,1.0,0.0
1021,ga percaya covid ga mau vaksin ga jalanin prokes but terima bansos haha,enggak percaya covid enggak mau vaksin enggak jalan prokes but terima bansos haha,1.0,0.0
1022,oke abis vaksin mau ke filkop ahh,oke habis vaksin mau ke filkop ah,0.0,0.0
1023,seketat singapore aja nyerah mereka lawan covid terus di indonesia masih disuruh patuh prokes wajib vaksin survival rate covid masih takut mati karna covid liat angka kematian pertahun indonesia kaga ada bedanya tiap hari juga ada yang mati bos,ketat singapore saja nyerah mereka lawan covid terus di indonesia masih suruh patuh prokes wajib vaksin survival rate covid masih takut mati karena covid lihat angka mati tahun indonesia kagak ada beda tiap hari juga ada yang mati bos,1.0,-1.0
1024,oalah pas semua udah vaksin,oalah pas semua sudah vaksin,1.0,0.0
1025,pak bpak baca tweet sya ga ya jam segini sya blm tidur loh pak krn mikirin corona padahal sya udah vaksin tp ttep aja sya stress bgt krn gatau mo ngapain pak sya pengen kasih masukan tapi takut slah ngetik yaudah sya diem aja cuma bsa ngeluh,pak bpak baca tweet saya enggak ya jam gin saya belum tidur loh pak karena pikir corona padahal saya sudah vaksin tapi tetap saja saya stres banget karena enggak tau mau kapai pak saya pengin kasih masuk tapi takut salah etik yaudah saya diam saja cuma bisa ngeluh,1.0,0.0
1026,seketat singapore aja nyerah mereka lawan covid terus di indonesia masih disuruh patuh prokes wajib vaksin survival rate covid masih takut mati karna covid liat angka kematian pertahun indonesia kaga ada bedanya tiap hari juga ada yang mati bos,ketat singapore saja nyerah mereka lawan covid terus di indonesia masih suruh patuh prokes wajib vaksin survival rate covid masih takut mati karena covid lihat angka mati tahun indonesia kagak ada beda tiap hari juga ada yang mati bos,1.0,-1.0
1027,im just trying to stay sane during this pandemic jadi kalo lu masih berani bawa omongan kemarin trmen gw abis vaksin lgsg positif plis plis jgn temenan ama gw ga ada waktu buat edukasi kayak lu padahal cari info yg ga hoax itu sebenernya bisa aja kalo lu g males,im just trying tapi stay sane during this pandemic jadi kalo lu masih berani bawa omong kemarin trmen gue habis vaksin langsung positif plis plis jangan teman sama gue enggak ada waktu buat edukasi kayak lu padahal cari info yang enggak hoax itu benar bisa saja kalo lu enggak malas,1.0,1.0
1028,i just wan na drop this wkwkwk gua udah gk ngerti lagi ye mau mgomong apa kemaren gua cuma bisa nontonin perdebatan antara mereka kek susah banget ngebilangin kalo covid itu nyata dan vaksin adalah salah satu pencegahannya hadeuuuuu,i just wan nya drop this wkwkwk gua sudah enggak erti lagi ye mau mgomong apa kemarin gua cuma bisa nontonin debat antara mereka kayak susah banget ngebilangin kalo covid itu nyata dan vaksin adalah salah satu cegah hadeuuuuu,1.0,0.0
1029,iya jg saya percaya covid dan mau vaksin tapi nunda dulu krn regulasi di wilayah tempat saya tinggal masih sangat amburadul belum lagi ayah saya hipertensi krn hipertensi gak boleh divaksin,iya juga saya percaya covid dan mau vaksin tapi nunda dulu karena regulasi di wilayah tempat saya tinggal masih sangat amburadul belum lagi ayah saya hipertensi karena hipertensi enggak boleh vaksin,0.0,-1.0
1030,per juliturki nyoba aturan bebas maskerskrg lg gencar vaksinsinovac vs biontech dsini jg angka naik turun terusapalg border ttp bukakrn butuh devisa dr sektor wisataidul fitri lalu minggu lockdown totallumayan berkurang,per juliturki coba atur bebas maskerskrg lagi gencar vaksinsinovac vs biontech sini juga angka naik turun terusapalg border tetap bukakrn butuh devisa dari sektor wisataidul fitri lalu minggu lockdown totallumayan kurang,0.0,1.0
1031,besok vaksin tp gabisa tidurrrr,besok vaksin tapi enggak bisa tidurrrr,0.0,1.0
1032,pak saya aja belom dapet vaksin,pak saya saja belum dapat vaksin,0.0,0.0
1033,disuntik vaksin astrazeneca anies baswedan linu di sendisendi tempometro,suntik vaksin astrazeneca anies baswedan linu di sendisendi tempometro,0.0,-1.0
1034,habis vaksin malah ga bisa bobo,habis vaksin malah enggak bisa bobo,0.0,-1.0
1035,mau tdr lagi tp ga bisa pdahal besok mau di vaksin,mau tidur lagi tapi enggak bisa padahal besok mau di vaksin,0.0,0.0
1036,kalo di indonesia tujuannya apa buat ngilangin covid pake vaksin seketat singapore aja nyerah mereka lawan covid terus di indonesia masih disuruh patuh prokes survival rate covid masih takut mati karna covid,kalo di indonesia tuju apa buat hilang covid pakai vaksin ketat singapore saja nyerah mereka lawan covid terus di indonesia masih suruh patuh prokes survival rate covid masih takut mati karena covid,1.0,-1.0
1039,mau ga tidur tp bsk vaksin yatuhan deadline mepet gini jgn sakit pls,mau enggak tidur tapi besok vaksin yatuhan deadline mepet begini jangan sakit pls,1.0,1.0
1041,program serbuan vaksin nasional yang diselenggarakan tnipolri bekerja sama dengan pemerintah daerah akan terus digencarkan di berbagai tempat loh,program serbu vaksin nasional yang selenggara tnipolri kerja sama dengan perintah daerah akan terus gencar di bagai tempat loh,0.0,0.0
1043,sampai setengah belum juga bisa tidur padahal niatnya hari ini mau vaksin,sampai tengah belum juga bisa tidur padahal niat hari ini mau vaksin,0.0,0.0
1044,vaksin covid mulai menyasar ke anak anak sd tahun semoga berhasil tetapi terkadang sering terjadi keanehan orang tuannya pakai masker anaknya tidak pakai mas bisa di setiap sudut keramaian ada apa kurang sosialisasi apa anaknya yg bandel apa orang tuanya yg banel,vaksin covid mulai sasar ke anak anak sd tahun moga hasil tetapi terkadang sering jadi aneh orang tuan pakai masker anak tidak pakai mas bisa di tiap sudut ramai ada apa kurang sosialisasi apa anak yang bandel apa orang tua yang banel,1.0,1.0
1045,polri dirikan gerai vaksin presisi di polrespolsek gratis dan tanpa syarat ktp domisili lewat,polri diri gerai vaksin presisi di polrespolsek gratis dan tanpa syarat ktp domisili lewat,0.0,1.0
1047,sampai jam segini masih ga ada tanda side effects dari vaksin,sampai jam gin masih enggak ada tanda side effects dari vaksin,0.0,1.0
1049,siap vaksin,siap vaksin,1.0,1.0
1050,disuntik vaksin astrazeneca anies baswedan linu disendisendi,suntik vaksin astrazeneca anies baswedan linu disendisendi,0.0,-1.0
1051,disuntik vaksin astrazeneca anies baswedan linu disendisendi,suntik vaksin astrazeneca anies baswedan linu disendisendi,0.0,-1.0
1052,sebelum dilakukan vaksin pasti akan di screening terlebih dahulu kok apakah memenuhi syarat untuk di vaksin atau tidak insyaallah aman,belum laku vaksin pasti akan di screening lebih dahulu kok apakah penuh syarat untuk di vaksin atau tidak insyaallah aman,1.0,1.0
1054,habis vaksin astra tepar berat lemes demam tinggi pusing bekas suntik nyeri pegel luar biasa jam segini kebangun krn mau gada yg enak posisinya tunggu jam lagi buat bisa minum paracetamol,habis vaksin astra tepar berat lemes demam tinggi pusing bekas suntik nyeri gel luar biasa jam gin bangun karena mau enggak ada yang enak posisi tunggu jam lagi buat bisa minum paracetamol,0.0,-1.0
1055,iya kalo pada percaya vaksin masalahnya banya yang masi ga mau vaksin,iya kalo pada percaya vaksin masalah banya yang masih enggak mau vaksin,1.0,0.0
1056,kalo masih ngeyel bilang aja maaf aku pro vaksin gimana mau pacaran kalo dari situ aja kita gak cocok mending kita temenan aja anjay,kalo masih ngeyel bilang saja maaf aku pro vaksin bagaimana mau pacar kalo dari situ saja kita enggak cocok mending kita teman saja anjay,1.0,0.0
1060,update ya mas ada efeknya ngga maju mundur nih mau vaksin az,update ya mas ada efek enggak maju mundur nih mau vaksin az,1.0,-1.0
1062,polres pelabuhan tanjung priok buka gerai vaksin,polres labuh tanjung priok buka gerai vaksin,0.0,0.0
1063,mau vaksin tapi malah gak bisa tidur,mau vaksin tapi malah enggak bisa tidur,0.0,0.0
1064,media asing soroti pemberian vaksin sinovac untuk anak umur tahun di indonesia,media asing sorot beri vaksin sinovac untuk anak umur tahun di indonesia,0.0,0.0
1065,w tiap mau pegi kayak tbtb banyak bgt deh yg kudu diurus mulai dr nyiapin kucing sampe vaksin,gue tiap mau pegi kayak tbtb banyak banget deh yang kudu urus mulai dari nyiapin kucing sampai vaksin,1.0,0.0
1066,biasanya kalo habis di vaksin malah mleyot,biasa kalo habis di vaksin malah mleyot,1.0,0.0
1069,vaksin plus prokes yuks daripada ga nikmat makan indomie,vaksin plus prokes yuk daripada enggak nikmat makan indomie,1.0,1.0
1071,iyaa unniee aku belum di vaksin anti mleyot,iya unniee aku belum di vaksin anti mleyot,1.0,0.0
1072,indo kek gini nanti dibilang gegara vaksin ada microchip,indonesia kayak begini nanti bilang gegara vaksin ada microchip,1.0,-1.0
1073,ampe vaksin aja malah banyak konspirasinya wkwkw,sampai vaksin saja malah banyak konspirasi wkwkw,1.0,0.0
1075,bentar pagi mau vaksin tapi bangun jam segini dan belum bisa tidur lg,bentar pagi mau vaksin tapi bangun jam gin dan belum bisa tidur lagi,0.0,0.0
1077,vaksin yg masih tentatif,vaksin yang masih tentatif,1.0,0.0
1083,sorry ga selamanya yg ga mau vaksin bukan berarti nolak tapi ada pertimbangan juga sinovac belum teruji dan belum ada jurnal akademik nya belum bisa sepenuhnya melawan versi delta susah keluar negeriumrahhaji krn ga dianggep oleh negara luar kec china az blood clot,sorry enggak lama yang enggak mau vaksin bukan arti nolak tapi ada timbang juga sinovac belum uji dan belum ada jurnal akademik nya belum bisa sepenuh lawan versi delta susah keluar negeriumrahhaji karena enggak dianggep oleh negara luar kec china az blood clot,1.0,-1.0
1084,setelah vaksin dosis pertama tidur bisa sampe jam dan laperan terus iki vaksin opo seh mksde,telah vaksin dosis pertama tidur bisa sampai jam dan laperan terus iki vaksin opo sih mksde,0.0,-1.0
1085,sudah fully prepared buat vaksin pas sampe kantor ternyata gue ga bisa ikut,sudah fully prepared buat vaksin pas sampai kantor nyata gue enggak bisa ikut,0.0,0.0
1086,rugi oi keluar duit jutajuta beli vaksin kalau ada ubat murah yang boleh rawat penyakit tu apa lagi sita la,rugi oi keluar duit jutajuta beli vaksin kalau ada ubat murah yang boleh rawat sakit itu apa lagi sita lah,1.0,-1.0
1090,video imunisasi swasta diberi kelulusan perolehanvaksin,video imunisasi swasta beri kelulus perolehanvaksin,0.0,0.0
1091,pls buat vaksin bergerak guna bus ka van ka,pls buat vaksin gerak guna bus kak van kak,1.0,0.0
1092,mjb kyaknya tiap org beda efek vaksinnya aku vaksin bareng tetanggaku pas malemnya aku lgsg demam dan pusing bgt smpe besoknya tpi tetanggaku ga demam dan sehat aja,mjb kayak tiap orang beda efek vaksin aku vaksin bareng tetangga pas malemnya aku langsung demam dan pusing banget sampai besok tapi tetangga enggak demam dan sehat saja,0.0,1.0
1094,abis vaksin kenapa lapar mulu parah ni,habis vaksin kenapa lapar mulu parah ini,0.0,-1.0
1097,besok vaksin gtlt,besok vaksin gtlt,0.0,1.0
1098,semoga cpt sehat walafiat mbapnglmn sy bln laluibu udah vaksin x kena covid lvl dirwt di rs pertamina hr sembuh adik covid lvl dirwt diwisma atlet hr sembuhsy otg covid lvl dihotel mangga dua square hr sembuhttp minum vitamin aja rutin slm perawatn tmpo itu,moga cepat sehat walafiat mbapnglmn saya bulan laluibu sudah vaksin kali kena covid lvl dirwt di rs pertamina hari sembuh adik covid lvl dirwt wisma atlet hari sembuhsy otg covid lvl hotel mangga dua square hari sembuhttp minum vitamin saja rutin salam perawatn tmpo itu,1.0,1.0
1099,klo di tempatku bulan kebetulan aku jg bru vaksin bulan ini trs disuruh dteng lgi bln september utk vaksin ke,kalo di tempat bulan betul aku juga baru vaksin bulan ini terus suruh datang lagi bulan september untuk vaksin ke,0.0,0.0
1100,ayo tidur besok vaksin,ayo tidur besok vaksin,1.0,1.0
1101,mantap juga efek abis vaksin ya ngantuk nya poooollllll,mantap juga efek habis vaksin ya ngantuk nya poooollllll,1.0,-1.0
1102,idi juga mendukung usul lockdown tim kepresidenan sedang mempelajari keberhasilan loc kdown di india jika diterapkan di indonesia akan lockdown di provinsi yg positif rate diatas indonesia pom sudah approve vaksin untuk anak umur tahun,idi juga dukung usul lockdown tim presiden sedang ajar hasil loc kdown di india jika terap di indonesia akan lockdown di provinsi yang positif rate atas indonesia pom sudah approve vaksin untuk anak umur tahun,0.0,0.0
1103,dari tki bermasalah di abu dhabi divaksinasi secara gratis menggunakan vaksin pfizer pada minggu kumparannews,dari tki masalah di abu dhabi vaksinasi cara gratis guna vaksin pfizer pada minggu kumparannews,0.0,0.0
1104,vaksin terbatas bupati tangerang minta masyarakat bersabar,vaksin batas bupati tangerang minta masyarakat sabar,0.0,0.0
1105,udh ga percaya covid ga prcya vaksin jadi beban dunia pula,sudah enggak percaya covid enggak percaya vaksin jadi beban dunia pula,1.0,0.0
1107,jubir sejauh ini tidak ada terjadi kejadian pasca vaksin yang fatal di riau,jubir jauh ini tidak ada jadi jadi pasca vaksin yang fatal di riau,0.0,0.0
1109,waspada hoax soal vaksin,waspada hoax soal vaksin,0.0,0.0
1110,dan baru sadar pagi ini vaksin trus w malah begadang,dan baru sadar pagi ini vaksin terus gue malah begadang,0.0,0.0
1112,gue tadi vaksin ga berasa pdhal kan hrsnya kek di gigit semut tapi ini gaada rasa asli ga sakit samsek,gue tadi vaksin enggak asa padahal kan harus kayak di gigit semut tapi ini enggak ada rasa asli enggak sakit samsek,0.0,1.0
1114,pengen vaksin tapi disini belum segencar itu,pengin vaksin tapi sini belum gencar itu,1.0,-1.0
1115,istri sehabis vaksin kedua hari selasa kemaren hari berselang batuk pilekkirain kipi hari minggu kemaren pcr hasilnya positif gue negatif gw siang tadi mulai ngerasa ga enak bodi amp tenggorakan mulai gatel swab antigen sendiri hasilnya strip besok pcr lagi,istri habis vaksin dua hari selasa kemarin hari selang batuk pilekkirain kipi hari minggu kemarin pcr hasil positif gue negatif gue siang tadi mulai rasa enggak enak bodi amp tenggorakan mulai gatel swab antigen sendiri hasil strip besok pcr lagi,0.0,-1.0
1116,tadinya udah ditahap ngajakin orang vaksin tapi kalo ada yg ga mau yaudah tapi kok liat berita singapure jadi mengiri mereka akan sampai di titik itu karena udah hampir mencapai herd immunity lah kita masih jauuuuuuuuh jd yok bisa yok paksa aja yg ga mau vaksin plisssss,tadi sudah tahap ngajakin orang vaksin tapi kalo ada yang enggak mau yaudah tapi kok lihat berita singapure jadi iri mereka akan sampai di titik itu karena sudah hampir capai herd immunity lah kita masih jauuuuuuuuh jadi yuk bisa yuk paksa saja yang enggak mau vaksin plisssss,1.0,1.0
1117,menlu retno berkesempatan menemui menlu italia luigi di maio dan menlu kanada marc garneau di roma pada minggu menluretno,menlu retno sempat temu menlu italia luigi di maio dan menlu kanada marc garneau di roma pada minggu menluretno,0.0,0.0
1118,semoga indonesia bisa segera mulai di vaksin,moga indonesia bisa segera mulai di vaksin,1.0,0.0
1119,ayo kita liat bright sidenya berarti dalam perkiraan sebulan kedepan bakal banyak orang sehat lebih kebal sama covid lagi juga makin banyak orang yang udah di vaksin huhu semangat semuaa,ayo kita lihat bright sidenya arti dalam kira bulan depan bakal banyak orang sehat lebih kebal sama covid lagi juga makin banyak orang yang sudah di vaksin huhu semangat semuaa,1.0,1.0
1120,terlambat seharusnya dari pertama supaya hoax vaksin tak liar oleh pembenci pemerintah,lambat harus dari pertama supaya hoax vaksin tak liar oleh benci perintah,1.0,0.0
1122,semoga masih dapet jatah vaksin,moga masih dapat jatah vaksin,1.0,0.0
1124,ngeliat kondisi pandemi sekarang malah tambah naik jadi mikir kayanya gaakan ada konser musik sampe tahun depan walaupun udh banyak yg di vaksin juga semoga semua orang sadar dan patuh sama prokes biar angka positif covid cepet turun,lihat kondisi pandemi sekarang malah tambah naik jadi mikir kaya gaakan ada konser musik sampai tahun depan walaupun sudah banyak yang di vaksin juga moga semua orang sadar dan patuh sama prokes biar angka positif covid cepat turun,1.0,0.0
1125,harusnya boleh vaksin tp sebaiknya ke dokter jantungnya dulu aja konsultasi menghindari yang tidak diinginkan,harus boleh vaksin tapi baik ke dokter jantung dulu saja konsultasi hindar yang tidak ingin,1.0,0.0
1126,soalnya kalo pake area kampus kan setau gw juga harus ada surat perintahizin dari rektor klo cvd aja ga percaya apalagi vaksin,soal kalo pakai area kampus kan tau gue juga harus ada surat perintahizin dari rektor kalo cvd saja enggak percaya apalagi vaksin,1.0,0.0
1127,kan ga smua org dibiayain buat hidup bro udh byk kok negara yg lockdown anggaran pun bs sm kyk pengeluaran buat vaksin dan perawatan buat korban covid lagian bs brani utang buat covid dll masa buat lockdown ga brani,kan enggak semua orang dibiayain buat hidup bro sudah banyak kok negara yang lockdown anggar pun bisa sama kayak keluar buat vaksin dan awat buat korban covid lagi bisa berani utang buat covid dll masa buat lockdown enggak berani,1.0,0.0
1130,engga sii free kok pokoknya sebelum vaksin lu tes swab atau pcr dulu soalnya kalo positif gaboleh vaksin sama jangan demam aja,enggak sih free kok pokok belum vaksin lu tes swab atau pcr dulu soal kalo positif gaboleh vaksin sama jangan demam saja,0.0,0.0
1133,apalah aku yg phobia jarum suntik asli kemarin pas vaksin tu drama bgt abang gue ampe malu gegara gue nangis sesenggukan,apa aku yang phobia jarum suntik asli kemarin pas vaksin itu drama banget abang gue sampai malu gegara gue menang sengguk,0.0,-1.0
1134,yuk vaksin orang bijak pasti vaksin,yuk vaksin orang bijak pasti vaksin,1.0,1.0
1135,jangan lupa rabu vaksin,jangan lupa rabu vaksin,1.0,1.0
1136,sama ajacdc n who sudah menyatakan gak ada satupun mutasi varian yg mampu mengalahkan berbagai vaksin yg sudah beredar baik pfizer moderna aztra sinovac sinopharm dllpfizer n aztra punya efeksitas tinggi utk varian smntara thdp varian lain blum ada reportnya,sama ajacdc n who sudah nyata enggak ada satu mutasi varian yang mampu kalah bagai vaksin yang sudah edar baik pfizer moderna aztra sinovac sinopharm dllpfizer n aztra punya efeksitas tinggi untuk varian smntara hadap varian lain belum ada reportnya,1.0,-1.0
1138,ga nyuruh mas nya vaksin jg,enggak nyuruh mas nya vaksin juga,1.0,0.0
1139,padahal mah yah baruuuuuuu aja kemarin sore ngobrol sama sepupu ttg vaksin trus cerita kalau aing gamau divaksin soalnya takut disuntik eh malah besoknya alias hari ini aing disuruh vaksin sama hrd,padahal mah ya baruuuuuuu saja kemarin sore obrol sama sepupu tentang vaksin terus cerita kalau aing enggak mau vaksin soal takut suntik eh malah besok alias hari ini aing suruh vaksin sama hrd,0.0,-1.0
1141,et bsk mau di vaksin tapi gak bisa tdr,et besok mau di vaksin tapi enggak bisa tidur,0.0,0.0
1142,iya aku dapet sih jadwal vaksin tapi di cibubur,iya aku dapat sih jadwal vaksin tapi di cibubur,1.0,-1.0
1143,launching gerai vaksin polres trenggalek dalam rangka hari bhayangkara di satpas polres trenggalek satlantas polres trenggalek baik bekerjasama melaksanakan presisi kapolri korlantaspolri ditlantaspoldajatim polripresisi rtmcjatim polisiindonesia polrestrenggalek,launching gerai vaksin polres trenggalek dalam rangka hari bhayangkara di satpas polres trenggalek satlantas polres trenggalek baik bekerjasama laksana presisi kapolri korlantaspolri ditlantaspoldajatim polripresisi rtmcjatim polisiindonesia polrestrenggalek,0.0,0.0
1144,baba gua ngedumel mulu grgr gua blm vaksin bukannya gamau tapi males ngantrinya kyk antri ambil sembako dr jokowi,baba gua ngedumel mulu gara-gara gua belum vaksin bukan enggak mau tapi malas ngantrinya kayak antri ambil sembako dari jokowi,0.0,-1.0
1146,oiya anjir mau cerita ke diri sendiri jadi tadi berangkat kerja nah setelah sebulan ga berangkat tadi ternyata di hotel lagi pada vaksin trus aing tbtb disuruh vaksin anjrit kaget banget mana ngeblank otak aing tadi karna takut bingung,oiya anjir mau cerita ke diri sendiri jadi tadi berangkat kerja nah telah bulan enggak berangkat tadi nyata di hotel lagi pada vaksin terus aing tbtb suruh vaksin anjrit kaget banget mana ngeblank otak aing tadi karena takut bingung,0.0,-1.0
1148,ngaps buru buru vaksin nanti,ngaps buru buru vaksin nanti,1.0,0.0
1152,hari ini vaksin tapi jam segini belum tidur,hari ini vaksin tapi jam gin belum tidur,0.0,0.0
1153,iya loh saya kmren dapet kabar dari teman sejurusan habis vaksin ke eh waktu di proyek ada yg kena malah yg abis vaksin ke hampir semua kena yg blm vaksin saja saya gamau nge judge bahwa abis vaksin gampang kena ya mau ngomongin real nya saja di lapangan,iya loh saya kemarin dapat kabar dari teman jurus habis vaksin ke eh waktu di proyek ada yang kena malah yang habis vaksin ke hampir semua kena yang belum vaksin saja saya enggak mau nge judge bahwa habis vaksin gampang kena ya mau omong real nya saja di lapang,0.0,-1.0
1155,nanti pagi ada jadwal vaksin tapi nih mata belum mau tidur pdhal seharian kemarin gaada istirahatnyaa,nanti pagi ada jadwal vaksin tapi nih mata belum mau tidur padahal hari kemarin enggak ada istirahatnyaa,0.0,0.0
